year,state,city,offence_category,offence_sub_category,value,unit,notes
2022,Gujarat,Ahmedabad,Tampering Computer Source documents,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Offences otherthan Ransomware (Sec 66),2,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Identity Theft,22,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Cheating by personation by using computer resource,2,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Violation of Privacy,1,value in absolute number,
2022,Gujarat,Ahmedabad,Cyber Terrorism,,1,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,45,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,2,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,2,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Gujarat,Ahmedabad,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Abetment to Commit Offences,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Attempt to Commit Offences,,1,value in absolute number,
2022,Gujarat,Ahmedabad,Others,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Total,,78,value in absolute number,
2022,Karnataka,Bengaluru,Tampering Computer Source documents,,4,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Ransomware (Section 66),183,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Offences otherthan Ransomware (Sec 66),77,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,2,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Identity Theft,2876,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Cheating by personation by using computer resource,6319,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Violation of Privacy,44,value in absolute number,
2022,Karnataka,Bengaluru,Cyber Terrorism,,1,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,292,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,55,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,67,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,1,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,7,value in absolute number,
2022,Karnataka,Bengaluru,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Karnataka,Bengaluru,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Karnataka,Bengaluru,Abetment to Commit Offences,,0,value in absolute number,
2022,Karnataka,Bengaluru,Attempt to Commit Offences,,3,value in absolute number,
2022,Karnataka,Bengaluru,Others,,9,value in absolute number,
2022,Karnataka,Bengaluru,Total,,9940,value in absolute number,
2022,Tamil Nadu,Chennai,Tampering Computer Source documents,,1,value in absolute number,
