Country/Region,Law/Policy Name,Status,Year,Scope,Provenance
European Union,AI Act (Regulation (EU) 2024/1689),Passed (Enforced 2025–26),2024.0,"Safety, Transparency, Risk, Liability",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
United States,Executive Order 14110 (AI Safety & Trust),Enforced,2023.0,"Safety, Civil Rights, Federal Use",https://www.federalregister.gov/documents/2023/11/01/2023-24283
United States,Algorithmic Accountability Act,Draft,2022.0,"Transparency, Bias in Automated Systems",https://www.congress.gov/bill/117th-congress/house-bill/6580
China,Interim Measures for Generative AI,Enforced,2023.0,"Content, IP, Security, Provider Duties",https://english.www.gov.cn/news/202307/13/content_WS64aff5b3c6d0868f4e8ddc01.html
China,Algorithmic Recommendation Regulations,Enforced,2022.0,"Content moderation, User rights",https://www.loc.gov/item/global-legal-monitor/2022-03-01/china-regulations-on-recommendation-algorithms/
Canada,"Artificial Intelligence and Data Act (AIDA, Bill C-27)",Draft,2022.0,"Accountability, Bias, Privacy",https://www.justice.gc.ca/eng/csj-sjc/pl/charter-charte/c27.html
Brazil,Bill 2338/2023 (AI Framework Law),Draft,2023.0,"Ethics, Liability, Human Rights",https://www.camara.leg.br
UK,AI Regulation White Paper,Policy,2023.0,"Pro-innovation, Sectoral Regulators",https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach
France,Digital Republic Law (AI/Bias clauses),Passed,2016.0,"Transparency, Algorithmic Decisions",https://www.legifrance.gouv.fr
Germany,AI Strategy & EU AI Act Implementation,Policy,2023.0,"Safety, R&D, Ethics",https://www.bmwi.de
Spain,Royal Decree AI Sandbox,Policy/Pilot,2023.0,Testing high-risk AI,https://www.boe.es
Italy,AI Act National Adaptation Plan,Policy,2024.0,"Compliance, Safety",https://www.governo.it
Japan,AI Strategic Council Guidelines,Policy,2023.0,"Safety, Innovation, Ethics",https://www.meti.go.jp
South Korea,Framework Act on AI,Draft,2023.0,"R&D, Safety, Liability",https://www.law.go.kr
Singapore,Model AI Governance Framework,Policy,2020.0,"Ethics, Transparency, Fairness",https://www.imda.gov.sg
UAE,National AI Strategy 2031,Policy,2017.0,"Ethics, R&D, Deployment",https://ai.gov.ae
Saudi Arabia,AI National Strategy,Policy,2020.0,"Safety, R&D, Governance",https://sdaia.gov.sa
India,National AI Strategy (NITI Aayog),Policy,2018.0,"Ethics, R&D, Use-cases",https://niti.gov.in
India,DPDP Act (AI implications),Passed,2023.0,"Data Protection, AI implications",https://www.meity.gov.in
Pakistan,National AI Policy Draft,Draft,2023.0,"R&D, Ethics, Governance",https://moitt.gov.pk
Australia,Safe and Responsible AI Discussion Paper,Draft Policy,2023.0,"Ethics, Regulation Options",https://www.industry.gov.au
New Zealand,AI Principles (Digital Council),Policy,2021.0,"Ethics, Transparency",https://www.digital.govt.nz
Mexico,AI National Strategy,Policy,2018.0,"Innovation, Ethics",https://www.gob.mx
Argentina,National AI Plan (draft),Draft,2022.0,"R&D, Ethics",https://www.argentina.gob.ar
Chile,AI National Policy 2021,Policy,2021.0,"Ethics, Human Rights, Transparency",https://www.minciencia.gob.cl
Kenya,AI National Strategy (draft),Draft,2023.0,"Innovation, Ethics",https://www.ict.go.ke
South Africa,AI Institute + Draft Policy,Draft,2022.0,"Innovation, Skills, Ethics",https://www.thedtic.gov.za
Nigeria,National AI Strategy (draft),Draft,2023.0,"Ethics, Innovation",https://nitda.gov.ng
Israel,AI National Strategy,Policy,2023.0,"R&D, Governance, Defense",https://innovationisrael.org.il
OECD,AI Principles (42 countries),Policy (non-binding),2019.0,"Trustworthy AI, Human-Centric",https://oecd.ai/en/ai-principles
Thailand,Royal Decree on AI + Act on Promotion of AI Innovations,Draft,2024.0,"Regulation of AI businesses, Innovation",https://www.addleshawgoddard.com/globalassets/insights/employment/global-ai-laws---overview---june-2024-pdf.pdf
Peru,Law No. 31814 (AI promotion),Draft,2023.0,AI promotion in economic/social sectors,https://www.addleshawgoddard.com/globalassets/insights/employment/global-ai-laws---overview---june-2024-pdf.pdf
Chile,AI Bill,Draft,2023.0,Ethical AI Regulation,https://www.addleshawgoddard.com/globalassets/insights/employment/global-ai-laws---overview---june-2024-pdf.pdf
Kenya,Robotics & AI Society Bill,Draft,2023.0,"Robotics, AI ethics",https://www.addleshawgoddard.com/globalassets/insights/employment/global-ai-laws---overview---june-2024-pdf.pdf
Italy,AI-related Crimes Bill,Draft,2024.0,"Deepfakes, Copyright, Misuse penalties",https://www.reuters.com/technology/italy-drafts-tough-penalties-ai-related-crimes-2024-04-09/
Colombia,AI Regulation Proposals,Draft,2023.0,"Transparency, Human Oversight",https://www.mindfoundry.ai/blog/ai-regulations-around-the-world
