Target Role,Phishing Method,Date (Year-Month),Country,Reported By,Attack Successful,Financial Loss (USD),Brief Description
CEO,Malicious Attachment,2020-01,Canada,Law Enforcement,No,0,Phishing via Malicious Attachment targeting CEO. Success: No.
Finance Officer,Email,2023-01,UK,Victim,Yes,548785,Phishing via Email targeting Finance Officer. Success: Yes.
Finance Officer,Email,2023-08,China,Third-party Security Firm,No,0,Phishing via Email targeting Finance Officer. Success: No.
CEO,Fake Website,2022-06,Canada,Victim,Yes,789486,Phishing via Fake Website targeting CEO. Success: Yes.
IT Admin,Social Media,2020-09,USA,Law Enforcement,Yes,821902,Phishing via Social Media targeting IT Admin. Success: Yes.
Customer Service,Voice Call,2020-02,China,Law Enforcement,Yes,556039,Phishing via Voice Call targeting Customer Service. Success: Yes.
General Public,SMS,2021-07,India,Law Enforcement,Yes,955244,Phishing via SMS targeting General Public. Success: Yes.
IT Admin,SMS,2020-07,China,Law Enforcement,No,0,Phishing via SMS targeting IT Admin. Success: No.
CEO,QR Code,2020-05,Brazil,Victim,Yes,523748,Phishing via QR Code targeting CEO. Success: Yes.
Customer Service,SMS,2022-08,India,Third-party Security Firm,No,0,Phishing via SMS targeting Customer Service. Success: No.
CEO,Social Media,2023-09,Japan,Victim,Yes,219058,Phishing via Social Media targeting CEO. Success: Yes.
Finance Officer,Malicious Attachment,2020-12,Brazil,Internal Security Team,Yes,839466,Phishing via Malicious Attachment targeting Finance Officer. Success: Yes.
Corporate Employee,Social Media,2022-08,India,Victim,Yes,44973,Phishing via Social Media targeting Corporate Employee. Success: Yes.
Customer Service,SMS,2024-03,Germany,Internal Security Team,No,0,Phishing via SMS targeting Customer Service. Success: No.
Corporate Employee,Malicious Attachment,2021-02,France,Victim,Yes,722259,Phishing via Malicious Attachment targeting Corporate Employee. Success: Yes.
Corporate Employee,Malicious Attachment,2022-07,India,Law Enforcement,Yes,184604,Phishing via Malicious Attachment targeting Corporate Employee. Success: Yes.
General Public,QR Code,2021-12,Germany,Third-party Security Firm,No,0,Phishing via QR Code targeting General Public. Success: No.
Finance Officer,Voice Call,2024-03,Canada,Law Enforcement,No,0,Phishing via Voice Call targeting Finance Officer. Success: No.
General Public,Fake Website,2023-12,Canada,Third-party Security Firm,Yes,539297,Phishing via Fake Website targeting General Public. Success: Yes.
Customer Service,Voice Call,2022-05,France,Law Enforcement,No,0,Phishing via Voice Call targeting Customer Service. Success: No.
CEO,Voice Call,2022-03,USA,Third-party Security Firm,No,0,Phishing via Voice Call targeting CEO. Success: No.
General Public,Voice Call,2022-10,Australia,Law Enforcement,Yes,394631,Phishing via Voice Call targeting General Public. Success: Yes.
Finance Officer,Social Media,2024-03,France,Victim,No,0,Phishing via Social Media targeting Finance Officer. Success: No.
Corporate Employee,QR Code,2020-03,Brazil,Victim,No,0,Phishing via QR Code targeting Corporate Employee. Success: No.
Customer Service,Social Media,2023-02,India,Victim,No,0,Phishing via Social Media targeting Customer Service. Success: No.
Finance Officer,QR Code,2021-03,India,Third-party Security Firm,Yes,769050,Phishing via QR Code targeting Finance Officer. Success: Yes.
Finance Officer,Email,2024-01,India,Law Enforcement,Yes,925230,Phishing via Email targeting Finance Officer. Success: Yes.
General Public,Malicious Attachment,2022-12,UK,Victim,Yes,343597,Phishing via Malicious Attachment targeting General Public. Success: Yes.
Customer Service,QR Code,2021-02,Australia,Internal Security Team,No,0,Phishing via QR Code targeting Customer Service. Success: No.
Finance Officer,Fake Website,2024-10,Brazil,Internal Security Team,Yes,29083,Phishing via Fake Website targeting Finance Officer. Success: Yes.
CEO,Malicious Attachment,2021-09,Australia,Internal Security Team,No,0,Phishing via Malicious Attachment targeting CEO. Success: No.
IT Admin,QR Code,2022-12,Brazil,Third-party Security Firm,Yes,452650,Phishing via QR Code targeting IT Admin. Success: Yes.
CEO,QR Code,2021-03,Japan,Third-party Security Firm,Yes,284570,Phishing via QR Code targeting CEO. Success: Yes.
Finance Officer,Social Media,2022-09,China,Internal Security Team,Yes,56364,Phishing via Social Media targeting Finance Officer. Success: Yes.
Finance Officer,Malicious Attachment,2024-03,Germany,Internal Security Team,No,0,Phishing via Malicious Attachment targeting Finance Officer. Success: No.
